,id,full_name,first_name,last_name,is_active
695,1628975,Jevon Carter,Jevon,Carter,1
700,1628976,Wendell Carter Jr.,Wendell,Carter Jr.,1
704,1627936,Alex Caruso,Alex,Caruso,1
713,1626161,Willie Cauley-Stein,Willie,Cauley-Stein,1
728,1630577,Julian Champagnie,Julian,Champagnie,1
729,1630551,Justin Champagnie,Justin,Champagnie,1
731,1631113,Kennedy Chandler,Kennedy,Chandler,1
742,1629597,Zylan Cheatham,Zylan,Cheatham,1
751,1629185,Chris Chiozza,Chris,Chiozza,1
754,1627737,Marquese Chriss,Marquese,Chriss,1
759,1631108,Max Christie,Max,Christie,1
763,1630528,Josh Christopher,Josh,Christopher,1
772,1629634,Brandon Clarke,Brandon,Clarke,1
774,203903,Jordan Clarkson,Jordan,Clarkson,1
778,1629651,Nic Claxton,Nic,Claxton,1
791,1629599,Amir Coffey,Amir,Coffey,1
810,1628381,John Collins,John,Collins,1
813,1628380,Zach Collins,Zach,Collins,1
825,201144,Mike Conley,Mike,Conley,1
828,1626192,Pat Connaughton,Pat,Connaughton,1
841,1626188,Quinn Cook,Quinn,Cook,1
851,1630536,Sharife Cooper,Sharife,Cooper,1
875,203496,Robert Covington,Robert,Covington,1
881,1628470,Torrey Craig,Torrey,Craig,1
906,203109,Jae Crowder,Jae,Crowder,1
907,1630622,Jalen Crutcher,Jalen,Crutcher,1
908,1629633,Jarrett Culver,Jarrett,Culver,1
914,1630595,Cade Cunningham,Cade,Cunningham,1
928,203552,Seth Curry,Seth,Curry,1
929,201939,Stephen Curry,Stephen,Curry,1
940,1630700,Dyson Daniels,Dyson,Daniels,1
952,1630268,Nate Darling,Nate,Darling,1
960,203076,Anthony Davis,Anthony,Davis,1
983,1631098,Johnny Davis,Johnny,Davis,1
995,1629056,Terence Davis,Terence,Davis,1
1000,1631120,JD Davison,JD,Davison,1
1011,1630620,Darius Days,Darius,Days,1
1017,201942,DeMar DeRozan,DeMar,DeRozan,1
1021,203473,Dewayne Dedmon,Dewayne,Dedmon,1
1033,203521,Matthew Dellavedova,Matthew,Dellavedova,1
1048,1628978,Donte DiVincenzo,Donte,DiVincenzo,1
1049,1631217,Moussa Diabate,Moussa,Diabate,1
1050,1629603,Mamadi Diakite,Mamadi,Diakite,1
1053,1628977,Hamidou Diallo,Hamidou,Diallo,1
1064,203476,Gorgui Dieng,Gorgui,Dieng,1
1065,1631172,Ousmane Dieng,Ousmane,Dieng,1
1074,203915,Spencer Dinwiddie,Spencer,Dinwiddie,1
1087,1629029,Luka Doncic,Luka,Doncic,1
1094,1628416,Tyler Dorsey,Tyler,Dorsey,1
1095,1629652,Luguentz Dort,Luguentz,Dort,1
1096,1630245,Ayo Dosunmu,Ayo,Dosunmu,1
1098,1629653,Devon Dotson,Devon,Dotson,1
1111,1630288,Jeff Dowtin,Jeff,Dowtin,1
1114,1628408,P.J. Dozier,P.J.,Dozier,1
1116,201609,Goran Dragic,Goran,Dragic,1
1128,203083,Andre Drummond,Andre,Drummond,1
1130,1630537,Chris Duarte,Chris,Duarte,1
1141,1630561,David Duke Jr.,David,Duke Jr.,1
1154,201142,Kevin Durant,Kevin,Durant,1
1155,1631105,Jalen Duren,Jalen,Duren,1
1160,1631347,Anthony Duruji,Anthony,Duruji,1
1171,1631106,Tari Eason,Tari,Eason,1
1185,1630162,Anthony Edwards,Anthony,Edwards,1
1195,1630556,Kessler Edwards,Kessler,Edwards,1
1210,1629604,CJ Elleby,CJ,Elleby,1
1221,1631165,Keon Ellis,Keon,Ellis,1
1231,203954,Joel Embiid,Joel,Embiid,1
1254,1629234,Drew Eubanks,Drew,Eubanks,1
1285,202324,Derrick Favors,Derrick,Favors,1
1305,1628981,Bruno Fernando,Bruno,Fernando,1
1322,1627827,Dorian Finney-Smith,Dorian,Finney-Smith,1
1326,1630238,Malik Fitts,Malik,Fitts,1
1338,1630201,Malachi Flynn,Malachi,Flynn,1
1344,1631323,Simone Fontecchio,Simone,Fontecchio,1
1346,1627854,Bryn Forbes,Bryn,Forbes,1
1360,1630235,Trent Forrest,Trent,Forrest,1
1368,1630701,Michael Foster Jr.,Michael,Foster Jr.,1
1370,203095,Evan Fournier,Evan,Fournier,1
1374,1628368,De'Aaron Fox,De'Aaron,Fox,1
1412,1628365,Markelle Fultz,Markelle,Fultz,1
1416,1629117,Wenyen Gabriel,Wenyen,Gabriel,1
1417,203583,Abdul Gaddy,Abdul,Gaddy,1
1420,1629655,Daniel Gafford,Daniel,Gafford,1
1429,201568,Danilo Gallinari,Danilo,Gallinari,1
1430,204038,Langston Galloway,Langston,Galloway,1
1443,1629636,Darius Garland,Darius,Garland,1
1456,1630585,Marcus Garrett,Marcus,Garrett,1
1462,1630586,Usman Garuba,Usman,Garuba,1
1464,1630568,Luka Garza,Luka,Garza,1
1470,200752,Rudy Gay,Rudy,Gay,1
1480,202331,Paul George,Paul,George,1
1494,201959,Taj Gibson,Taj,Gibson,1
1497,1630581,Josh Giddey,Josh,Giddey,1
1500,1628983,Shai Gilgeous-Alexander,Shai,Gilgeous-Alexander,1
1501,1630264,Anthony Gill,Anthony,Gill,1
1505,1631221,Collin Gillespie,Collin,Gillespie,1
1526,203497,Rudy Gobert,Rudy,Gobert,1
1529,1631371,Grant Golden,Grant,Golden,1
1540,1630692,Jordan Goodwin,Jordan,Goodwin,1
1542,203932,Aaron Gordon,Aaron,Gordon,1
1545,201569,Eric Gordon,Eric,Gordon,1
1554,1628984,Devonte' Graham,Devonte',Graham,1
1572,203924,Jerami Grant,Jerami,Grant,1
1588,1630564,RaiQuan Gray,RaiQuan,Gray,1
1595,1631260,A.J. Green,A.J.,Green,1
1596,201980,Danny Green,Danny,Green,1
1598,203110,Draymond Green,Draymond,Green,1
1601,203210,JaMychal Green,JaMychal,Green,1
1602,1630224,Jalen Green,Jalen,Green,1
1603,1629750,Javonte Green,Javonte,Green,1
1604,201145,Jeff Green,Jeff,Green,1
1606,1630182,Josh Green,Josh,Green,1
1632,1631100,AJ Griffin,AJ,Griffin,1
1634,201933,Blake Griffin,Blake,Griffin,1
1641,1629656,Quentin Grimes,Quentin,Grimes,1
1654,1631338,Mouhamadou Gueye,Mouhamadou,Gueye,1
1667,1629060,Rui Hachimura,Rui,Hachimura,1
1685,1630169,Tyrese Haliburton,Tyrese,Haliburton,1
1689,1631160,Jordan Hall,Jordan,Hall,1
1692,1629788,Tyler Hall,Tyler,Hall,1
1711,1630181,R.J. Hampton,R.J.,Hampton,1
1731,203501,Tim Hardaway Jr.,Tim,Hardaway Jr.,1
1732,201935,James Harden,James,Harden,1
1736,1630702,Jaden Hardy,Jaden,Hardy,1
1748,1631199,Ron Harper Jr.,Ron,Harper Jr.,1
1750,1626149,Montrezl Harrell,Montrezl,Harrell,1
1762,203914,Gary Harris,Gary,Harris,1
1763,1630223,Jalen Harris,Jalen,Harris,1
1764,203925,Joe Harris,Joe,Harris,1
1765,1630284,Kevon Harris,Kevon,Harris,1
1771,202699,Tobias Harris,Tobias,Harris,1
1777,1627885,Shaquille Harrison,Shaquille,Harrison,1
1779,1628404,Josh Hart,Josh,Hart,1
1780,1628392,Isaiah Hartenstein,Isaiah,Hartenstein,1
1786,2617,Udonis Haslem,Udonis,Haslem,1
1793,1630573,Sam Hauser,Sam,Hauser,1
1808,1629637,Jaxson Hayes,Jaxson,Hayes,1
1809,1630165,Killian Hayes,Killian,Hayes,1
1812,202330,Gordon Hayward,Gordon,Hayward,1
1853,1627823,Juancho Hernangomez,Juancho,Hernangomez,1
1854,1626195,Willy Hernangomez,Willy,Hernangomez,1
1858,1629639,Tyler Herro,Tyler,Herro,1
1872,1627741,Buddy Hield,Buddy,Hield,1
1879,1629312,Haywood Highsmith,Haywood,Highsmith,1
1884,201588,George Hill,George,Hill,1
1888,1630792,Malcolm Hill,Malcolm,Hill,1
1898,1630207,Nate Hinton,Nate,Hinton,1
1914,1628988,Aaron Holiday,Aaron,Holiday,1
1915,201950,Jrue Holiday,Jrue,Holiday,1
1916,203200,Justin Holiday,Justin,Holiday,1
1925,1626158,Richaun Holmes,Richaun,Holmes,1
1926,1631096,Chet Holmgren,Chet,Holmgren,1
1945,201143,Al Horford,Al,Horford,1
1952,1629659,Talen Horton-Tucker,Talen,Horton-Tucker,1
1956,1627863,Danuel House Jr.,Danuel,House Jr.,1
1957,1631216,Caleb Houstan,Caleb,Houstan,1
1974,1631309,Trevor Hudgins,Trevor,Hudgins,1
1979,1628989,Kevin Huerter,Kevin,Huerter,1
1981,1630643,Jay Huff,Jay,Huff,1
1996,1630624,Feron Hunt,Feron,Hunt,1
2000,1629631,De'Andre Hunter,De'Andre,Hunter,1
2009,1630562,Matt Hurt,Matt,Hurt,1
2016,1630538,Bones Hyland,Bones,Hyland,1
2018,201586,Serge Ibaka,Serge,Ibaka,1
2019,2738,Andre Iguodala,Andre,Iguodala,1
2025,204060,Joe Ingles,Joe,Ingles,1
2028,1627742,Brandon Ingram,Brandon,Ingram,1
2031,202681,Kyrie Irving,Kyrie,Irving,1
2032,1628371,Jonathan Isaac,Jonathan,Isaac,1
2036,1631093,Jaden Ivey,Jaden,Ivey,1
2048,1630543,Isaiah Jackson,Isaiah,Jackson,1
2052,1628367,Josh Jackson,Josh,Jackson,1
2053,1628382,Justin Jackson,Justin,Jackson,1
2062,1631245,Quenton Jackson,Quenton,Jackson,1
2065,202704,Reggie Jackson,Reggie,Jackson,1
2071,1628991,Jaren Jackson Jr.,Jaren,Jackson Jr.,1
2083,2544,LeBron James,LeBron,James,1
2105,1629610,DaQuan Jeffries,DaQuan,Jeffries,1
2106,1631300,Drake Jeffries,Drake,Jeffries,1
2116,1629660,Ty Jerome,Ty,Jerome,1
2120,1630198,Isaiah Joe,Isaiah,Joe,1
2123,1628993,Alize Johnson,Alize,Johnson,1
2133,1629661,Cameron Johnson,Cameron,Johnson,1
2160,1630552,Jalen Johnson,Jalen,Johnson,1
2161,201949,James Johnson,James,Johnson,1
2165,1629640,Keldon Johnson,Keldon,Johnson,1
2168,1630553,Keon Johnson,Keon,Johnson,1
2186,1626169,Stanley Johnson,Stanley,Johnson,1
2197,203999,Nikola Jokic,Nikola,Jokic,1
2206,1630637,Carlik Jones,Carlik,Jones,1
2211,1627745,Damian Jones,Damian,Jones,1
2222,1630529,Herbert Jones,Herbert,Jones,1
2231,1630539,Kai Jones,Kai,Jones,1
2248,1630200,Tre Jones,Tre,Jones,1
2249,1626145,Tyus Jones,Tyus,Jones,1
2256,1627884,Derrick Jones Jr.,Derrick,Jones Jr.,1
2258,201599,DeAndre Jordan,DeAndre,Jordan,1
2269,202709,Cory Joseph,Cory,Joseph,1
2273,1631107,Nikola Jovic,Nikola,Jovic,1
2275,1630548,Johnny Juzang,Johnny,Juzang,1
2276,1629662,Mfiondu Kabengele,Mfiondu,Kabengele,1
2282,1626163,Frank Kaminsky,Frank,Kaminsky,1
2300,1631211,Trevor Keels,Trevor,Keels,1
2312,1628379,Luke Kennard,Luke,Kennard,1
2325,1631117,Walker Kessler,Walker,Kessler,1
2327,1630296,Braxton Key,Braxton,Key,1
2364,1631452,Noah Kirkwood,Noah,Kirkwood,1
2365,1630557,Corey Kispert,Corey,Kispert,1
2370,1628467,Maxi Kleber,Maxi,Kleber,1
2381,1630233,Nathan Knight,Nathan,Knight,1
2389,1628995,Kevin Knox II,Kevin,Knox II,1
2392,1631132,Christian Koloko,Christian,Koloko,1
2396,1629723,John Konchar,John,Konchar,1
2399,1627788,Furkan Korkmaz,Furkan,Korkmaz,1
2401,1628436,Luke Kornet,Luke,Kornet,1
2416,1630249,Vit Krejci,Vit,Krejci,1
2430,1630228,Jonathan Kuminga,Jonathan,Kuminga,1
2437,1628398,Kyle Kuzma,Kyle,Kuzma,1
2443,1631222,Jake LaRavia,Jake,LaRavia,1
2446,203897,Zach LaVine,Zach,LaVine,1
2454,1630237,Anthony Lamb,Anthony,Lamb,1
2462,1629111,Jock Landale,Jock,Landale,1
2472,1629641,Romeo Langford,Romeo,Langford,1
2492,1630639,A.J. Lawson,A.J.,Lawson,1
2495,1627774,Jake Layman,Jake,Layman,1
2497,1627747,Caris LeVert,Caris,LeVert,1
2509,1627814,Damion Lee,Damion,Lee,1
2526,203458,Alex Len,Alex,Len,1
2530,202695,Kawhi Leonard,Kawhi,Leonard,1
2545,1631171,Justin Lewis,Justin,Lewis,1
2552,1630184,Kira Lewis Jr.,Kira,Lewis Jr.,1
2557,203081,Damian Lillard,Damian,Lillard,1
2561,1629642,Nassir Little,Nassir,Little,1
2562,1630587,Isaiah Livers,Isaiah,Livers,1
2577,1631254,Kenneth Lofton Jr.,Kenneth,Lofton Jr.,1
2586,1626172,Kevon Looney,Kevon,Looney,1
2587,201572,Brook Lopez,Brook,Lopez,1
2590,201577,Robin Lopez,Robin,Lopez,1
2597,201567,Kevin Love,Kevin,Love,1
2602,200768,Kyle Lowry,Kyle,Lowry,1
2617,1627789,Timothe Luwawu-Cabarrot,Timothe,Luwawu-Cabarrot,1
2619,1626168,Trey Lyles,Trey,Lyles,1
